md5:564fcc6c3d7fd861e467f368d30e192c,condition,8
md5:564fcc6c3d7fd861e467f368d30e192c,counterbalance,0
md5:564fcc6c3d7fd861e467f368d30e192c,status,1
md5:f459017580188a2546a9e75c85392093,browser,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
md5:f459017580188a2546a9e75c85392093,condition,5
md5:f459017580188a2546a9e75c85392093,counterbalance,0
md5:f459017580188a2546a9e75c85392093,status,3
md5:c8b24e9c1def66158f1cffedd09b4432,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
md5:c8b24e9c1def66158f1cffedd09b4432,error2,"[""[\""Failed to execute 'exitFullscreen' on 'Document': Document not active\"",\""TypeError: Failed to execute 'exitFullscreen' on 'Document': Document not active\\n    at t.trial (https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:6:102650)\\n    at m (https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:5:135473)\\n    at f (https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:5:134511)\\n    at i.finishTrial (https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:5:139652)\\n    at n (https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:12:51309)\\n    at https://cocosci-lightbot.global.ssl.fastly.net/dist/exp.template.a1474eff.js:12:51705\""]""]"
md5:c8b24e9c1def66158f1cffedd09b4432,condition,4
md5:c8b24e9c1def66158f1cffedd09b4432,counterbalance,0
md5:c8b24e9c1def66158f1cffedd09b4432,status,3
md5:dd01fe86899e9d2f926ca903bf513dc9,browser,"Mozilla/5.0 (X11; CrOS x86_64 14816.99.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
md5:dd01fe86899e9d2f926ca903bf513dc9,condition,6
md5:dd01fe86899e9d2f926ca903bf513dc9,counterbalance,0
md5:dd01fe86899e9d2f926ca903bf513dc9,status,3
md5:7317fe524aa5d502515ec68149f55c19,browser,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36"
md5:7317fe524aa5d502515ec68149f55c19,condition,8
md5:7317fe524aa5d502515ec68149f55c19,counterbalance,0
md5:7317fe524aa5d502515ec68149f55c19,status,3
